provinsi,tahun,jumlah perkapita
MALUKU UTARA,2013,48.63
NUSA TENGGARA BARAT,2013,30.5
NUSA TENGGARA TIMUR,2013,28.15
PAPUA,2013,35.43
PAPUA BARAT,2013,47.13
RIAU,2013,40.02
SULAWESI BARAT,2013,45.37
SULAWESI SELATAN,2013,44.88
SULAWESI TENGAH,2013,40.31
SULAWESI TENGGARA,2013,49.01
SULAWESI UTARA,2013,45.67
SUMATERA BARAT,2013,33.4
SUMATERA SELATAN,2013,37.89
SUMATERA UTARA,2013,38.94
NASIONAL,2014,38.14
ACEH,2014,45.83
BALI,2014,31.47
BANTEN,2014,30.65
BENGKULU,2014,32.18
DAERAH ISTIMEWA YOGYAKARTA,2014,21.74
DKI JAKARTA,2014,32.55
GORONTALO,2014,47.74
JAMBI,2014,34.0
JAWA BARAT,2014,24.48
JAWA TENGAH,2014,20.92
JAWA TIMUR,2014,27.89
KALIMANTAN BARAT,2014,36.9
KALIMANTAN SELATAN,2014,46.5
KALIMANTAN TENGAH,2014,46.19
KALIMANTAN TIMUR,2014,41.81
KALIMANTAN UTARA,2014,0.0
KEPULAUAN BANGKA BELITUNG,2014,47.04
KEPULAUAN RIAU,2014,49.92
LAMPUNG,2014,25.97
MALUKU,2014,54.12
MALUKU UTARA,2014,48.88
NUSA TENGGARA BARAT,2014,31.15
NUSA TENGGARA TIMUR,2014,30.11
PAPUA,2014,38.59
PAPUA BARAT,2014,49.51
RIAU,2014,41.74
SULAWESI BARAT,2014,46.16
SULAWESI SELATAN,2014,45.4
SULAWESI TENGAH,2014,45.07
SULAWESI TENGGARA,2014,50.77
SULAWESI UTARA,2014,47.83
SUMATERA BARAT,2014,34.16
SUMATERA SELATAN,2014,38.99
SUMATERA UTARA,2014,40.14
NASIONAL,2015,41.11
ACEH,2015,46.85
BALI,2015,33.02
BANTEN,2015,32.45
BENGKULU,2015,34.39
DAERAH ISTIMEWA YOGYAKARTA,2015,24.68
DKI JAKARTA,2015,36.75
GORONTALO,2015,50.56
JAMBI,2015,34.75
JAWA BARAT,2015,26.27
JAWA TENGAH,2015,22.37
JAWA TIMUR,2015,29.42
KALIMANTAN BARAT,2015,38.63
KALIMANTAN SELATAN,2015,48.4
KALIMANTAN TENGAH,2015,48.87
KALIMANTAN TIMUR,2015,43.12
KALIMANTAN UTARA,2015,41.83
KEPULAUAN BANGKA BELITUNG,2015,49.26
KEPULAUAN RIAU,2015,52.58
LAMPUNG,2015,28.66
MALUKU,2015,55.35
MALUKU UTARA,2015,50.75
NUSA TENGGARA BARAT,2015,35.64
NUSA TENGGARA TIMUR,2015,31.78
PAPUA,2015,40.13
PAPUA BARAT,2015,50.18
RIAU,2015,44.03
SULAWESI BARAT,2015,49.78
SULAWESI SELATAN,2015,48.97
SULAWESI TENGAH,2015,46.03
SULAWESI TENGGARA,2015,52.6
SULAWESI UTARA,2015,48.99
SUMATERA BARAT,2015,36.42
SUMATERA SELATAN,2015,43.03
SUMATERA UTARA,2015,41.04
NASIONAL,2016,43.94
ACEH,2016,49.8
BALI,2016,37.43
BANTEN,2016,35.77
BENGKULU,2016,37.29
DAERAH ISTIMEWA YOGYAKARTA,2016,23.73
DKI JAKARTA,2016,38.79
GORONTALO,2016,52.34
JAMBI,2016,38.91
JAWA BARAT,2016,32.14
JAWA TENGAH,2016,26.71
JAWA TIMUR,2016,31.35
KALIMANTAN BARAT,2016,41.43
KALIMANTAN SELATAN,2016,49.98
KALIMANTAN TENGAH,2016,52.89
KALIMANTAN TIMUR,2016,47.41
KALIMANTAN UTARA,2016,45.12
KEPULAUAN BANGKA BELITUNG,2016,46.75
KEPULAUAN RIAU,2016,55.24
LAMPUNG,2016,28.72
MALUKU,2016,61.87
MALUKU UTARA,2016,55.55
NUSA TENGGARA BARAT,2016,32.35
NUSA TENGGARA TIMUR,2016,36.94
PAPUA,2016,45.74
PAPUA BARAT,2016,53.45
RIAU,2016,42.06
SULAWESI BARAT,2016,51.96
SULAWESI SELATAN,2016,53.08
SULAWESI TENGAH,2016,49.27
SULAWESI TENGGARA,2016,55.82
SULAWESI UTARA,2016,55.05
SUMATERA BARAT,2016,37.37
SUMATERA SELATAN,2016,45.93
SUMATERA UTARA,2016,45.66
NASIONAL,2017,47.34
ACEH,2017,49.37
BALI,2017,37.56
BANTEN,2017,36.41
BENGKULU,2017,53.36
DAERAH ISTIMEWA YOGYAKARTA,2017,28.32
DKI JAKARTA,2017,39.62
GORONTALO,2017,58.55
JAMBI,2017,40.42
JAWA BARAT,2017,28.6
JAWA TENGAH,2017,29.19
JAWA TIMUR,2017,34.63
KALIMANTAN BARAT,2017,38.91
KALIMANTAN SELATAN,2017,50.2
KALIMANTAN TENGAH,2017,47.63
KALIMANTAN TIMUR,2017,51.71
KALIMANTAN UTARA,2017,58.54
KEPULAUAN BANGKA BELITUNG,2017,52.78
KEPULAUAN RIAU,2017,55.78
LAMPUNG,2017,33.05
MALUKU,2017,64.49
MALUKU UTARA,2017,63.19
NUSA TENGGARA BARAT,2017,35.49
NUSA TENGGARA TIMUR,2017,39.75
PAPUA,2017,48.33
PAPUA BARAT,2017,58.62
RIAU,2017,42.36
SULAWESI BARAT,2017,54.21
SULAWESI SELATAN,2017,60.88
SULAWESI TENGAH,2017,52.34
SULAWESI TENGGARA,2017,64.02
SULAWESI UTARA,2017,61.94
SUMATERA BARAT,2017,42.2
SUMATERA SELATAN,2017,46.6
SUMATERA UTARA,2017,50.38
NASIONAL,2018,50.69
ACEH,2018,57.19
BALI,2018,38.83
BANTEN,2018,37.41
BENGKULU,2018,54.36
DAERAH ISTIMEWA YOGYAKARTA,2018,28.71
DKI JAKARTA,2018,45.98
GORONTALO,2018,59.55
JAMBI,2018,41.42
JAWA BARAT,2018,29.64
JAWA TENGAH,2018,30.64
JAWA TIMUR,2018,36.82
KALIMANTAN BARAT,2018,39.61
KALIMANTAN SELATAN,2018,57.99
KALIMANTAN TENGAH,2018,48.22
KALIMANTAN TIMUR,2018,55.0
KALIMANTAN UTARA,2018,60.47
KEPULAUAN BANGKA BELITUNG,2018,54.35
KEPULAUAN RIAU,2018,59.04
LAMPUNG,2018,34.21
MALUKU,2018,66.67
MALUKU UTARA,2018,64.19
NUSA TENGGARA BARAT,2018,39.42
NUSA TENGGARA TIMUR,2018,42.13
PAPUA,2018,59.66
PAPUA BARAT,2018,53.48
RIAU,2018,43.13
SULAWESI BARAT,2018,55.21
SULAWESI SELATAN,2018,61.88
SULAWESI TENGAH,2018,56.65
SULAWESI TENGGARA,2018,65.14
SULAWESI UTARA,2018,75.29
SUMATERA BARAT,2018,66.86
SUMATERA SELATAN,2018,47.6
SUMATERA UTARA,2018,56.71
NASIONAL,2019,54.5
ACEH,2019,63.62
BALI,2019,41.45
BANTEN,2019,42.94
BENGKULU,2019,40.79
DAERAH ISTIMEWA YOGYAKARTA,2019,33.35
DKI JAKARTA,2019,50.08
GORONTALO,2019,67.73
JAMBI,2019,41.8
JAWA BARAT,2019,38.23
JAWA TENGAH,2019,35.99
JAWA TIMUR,2019,41.44
KALIMANTAN BARAT,2019,49.35
KALIMANTAN SELATAN,2019,61.91
KALIMANTAN TENGAH,2019,57.18
KALIMANTAN TIMUR,2019,60.12
KALIMANTAN UTARA,2019,69.7
KEPULAUAN BANGKA BELITUNG,2019,64.52
KEPULAUAN RIAU,2019,66.5
LAMPUNG,2019,36.88
MALUKU,2019,72.76
MALUKU UTARA,2019,68.53
NUSA TENGGARA BARAT,2019,52.87
NUSA TENGGARA TIMUR,2019,46.26
PAPUA,2019,64.13
PAPUA BARAT,2019,61.44
RIAU,2019,47.27
SULAWESI BARAT,2019,60.45
SULAWESI SELATAN,2019,66.06
SULAWESI TENGAH,2019,60.84
SULAWESI TENGGARA,2019,71.13
SULAWESI UTARA,2019,66.75
SUMATERA BARAT,2019,42.97
SUMATERA SELATAN,2019,47.36
SUMATERA UTARA,2019,60.54
NASIONAL,2020,54.56
ACEH,2020,65.53
BALI,2020,44.74
BANTEN,2020,41.29
BENGKULU,2020,45.74
DAERAH ISTIMEWA YOGYAKARTA,2020,34.26
DKI JAKARTA,2020,48.19
GORONTALO,2020,65.41
JAMBI,2020,40.57
JAWA BARAT,2020,37.1
JAWA TENGAH,2020,36.21
JAWA TIMUR,2020,42.0
KALIMANTAN BARAT,2020,46.76
KALIMANTAN SELATAN,2020,61.23
KALIMANTAN TENGAH,2020,55.5
KALIMANTAN TIMUR,2020,55.39
KALIMANTAN UTARA,2020,73.0
KEPULAUAN BANGKA BELITUNG,2020,64.32
KEPULAUAN RIAU,2020,68.6
LAMPUNG,2020,36.16
MALUKU,2020,73.82
MALUKU UTARA,2020,74.59
NUSA TENGGARA BARAT,2020,50.21
NUSA TENGGARA TIMUR,2020,46.65
PAPUA,2020,61.24
PAPUA BARAT,2020,64.65
RIAU,2020,48.49
SULAWESI BARAT,2020,64.15
SULAWESI SELATAN,2020,66.0
SULAWESI TENGAH,2020,62.04
SULAWESI TENGGARA,2020,70.51
SULAWESI UTARA,2020,66.82
SUMATERA BARAT,2020,43.15
SUMATERA SELATAN,2020,44.29
SUMATERA UTARA,2020,56.36
NASIONAL,2021,55.37
ACEH,2021,66.21
BALI,2021,44.97
BANTEN,2021,41.74
BENGKULU,2021,46.21
DAERAH ISTIMEWA YOGYAKARTA,2021,34.82
DKI JAKARTA,2021,48.92
GORONTALO,2021,65.54
JAMBI,2021,41.28
JAWA BARAT,2021,37.73
JAWA TENGAH,2021,36.74
JAWA TIMUR,2021,42.45
KALIMANTAN BARAT,2021,47.14
KALIMANTAN SELATAN,2021,61.74
KALIMANTAN TENGAH,2021,56.28
KALIMANTAN TIMUR,2021,55.96
KALIMANTAN UTARA,2021,73.94
KEPULAUAN BANGKA BELITUNG,2021,67.16
KEPULAUAN RIAU,2021,71.61
LAMPUNG,2021,36.66
MALUKU,2021,77.49
MALUKU UTARA,2021,75.75
NUSA TENGGARA BARAT,2021,50.49
NUSA TENGGARA TIMUR,2021,47.07
PAPUA,2021,62.04
PAPUA BARAT,2021,64.96
RIAU,2021,49.32
SULAWESI BARAT,2021,64.64
SULAWESI SELATAN,2021,66.81
SULAWESI TENGAH,2021,62.59
SULAWESI TENGGARA,2021,70.95
SULAWESI UTARA,2021,67.28
SUMATERA BARAT,2021,43.9
SUMATERA SELATAN,2021,45.14
SUMATERA UTARA,2021,57.17
